degree,num_processes,data_send,compute,receive,total
100000,10,0.028615,0.720216,0.036686,0.748927
100000,20,0.036213,0.357984,0.017894,0.394322
100000,50,0.070214,0.244221,0.102977,0.31364
100000,80,0.194961,0.182605,0.072517,0.367517
100000,120,0.261091,0.115783,0.040428,0.369661
1000000,10,0.228623,218.100157,0.086529,218.329038
1000000,20,0.287796,110.690406,0.671931,110.978453
1000000,50,0.629982,56.88427,12.266435,57.477593
1000000,80,2.179021,34.652226,6.456096,36.412522
1000000,120,2.918306,23.247276,4.717074,26.020401
